parent_foodcode,parent_desc,ingred_code1,ingred_desc1,ingred_wt1,ingred_code2,ingred_desc2,ingred_wt2,ingred_code3,ingred_desc3,ingred_wt3,ingred_code4,ingred_desc4,ingred_wt4
13140110.0,"Light ice cream, bar or stick, chocolate covered, with nuts",13140100.0,"Light ice cream, bar or stick, chocolate coated",60.0,19335.0,"Sugars, granulated",6.4,,,,,,
13140110.0,"Light ice cream, bar or stick, chocolate covered, with nuts",13140100.0,"Light ice cream, bar or stick, chocolate coated",60.0,19166.0,"Cocoa, dry powder, unsweetened, processed with alkali",1.1,,,,,,
13140450.0,"Light ice cream, cone, NFS",13140500.0,"Light ice cream, cone, flavors other than chocolate",100.0,19096.0,"Ice creams, vanilla, light, soft-serve",60.0,,,,,,
13140450.0,"Light ice cream, cone, NFS",13140500.0,"Light ice cream, cone, flavors other than chocolate",100.0,18271.0,"Ice cream cones, cake or wafer-type",5.0,,,,,,
13140650.0,"Light ice cream, sundae, soft serve, not fruit or chocolate topping, with whipped cream",91304010.0,"Topping, butterscotch or caramel",42.5,19364.0,"Toppings, butterscotch or caramel",100.0,,,,,,
13140680.0,"Light ice cream, sundae, soft serve, not fruit or chocolate topping, without whipped cream",91304010.0,"Topping, butterscotch or caramel",41.0,19364.0,"Toppings, butterscotch or caramel",100.0,,,,,,
13210110.0,"Pudding, bread",81102010.0,"Margarine, stick, salted",14.188,4610.0,"Margarine, regular, 80% fat, composite, stick, with salt",85.0,,,,,,
13210110.0,"Pudding, bread",81102010.0,"Margarine, stick, salted",14.188,4691.0,"Margarine, regular, 80% fat, composite, stick, with salt, with added vitamin D",15.0,,,,,,
13210150.0,Bread pudding made with evaporated milk and rum,81102010.0,"Margarine, stick, salted",56.4,4610.0,"Margarine, regular, 80% fat, composite, stick, with salt",85.0,,,,,,
13210150.0,Bread pudding made with evaporated milk and rum,81102010.0,"Margarine, stick, salted",56.4,4691.0,"Margarine, regular, 80% fat, composite, stick, with salt, with added vitamin D",15.0,,,,,,
13210750.0,"Pudding, pumpkin",81102010.0,"Margarine, stick, salted",2.35,4610.0,"Margarine, regular, 80% fat, composite, stick, with salt",85.0,,,,,,
13210750.0,"Pudding, pumpkin",81102010.0,"Margarine, stick, salted",2.35,4691.0,"Margarine, regular, 80% fat, composite, stick, with salt, with added vitamin D",15.0,,,,,,
13210810.0,"Pumpkin pudding, Puerto Rican style",81102010.0,"Margarine, stick, salted",28.375,4610.0,"Margarine, regular, 80% fat, composite, stick, with salt",85.0,,,,,,
13210810.0,"Pumpkin pudding, Puerto Rican style",81102010.0,"Margarine, stick, salted",28.375,4691.0,"Margarine, regular, 80% fat, composite, stick, with salt, with added vitamin D",15.0,,,,,,
13411000.0,"White sauce, milk sauce",81102010.0,"Margarine, stick, salted",28.375,4610.0,"Margarine, regular, 80% fat, composite, stick, with salt",85.0,,,,,,
